Time(Iteration),AsyncCoLinUCB,WknowTheta,LinUCB
0,1.49707776369,0.577191569126,1.99204015375
1,1.86095247153,1.76600489103,4.31410397868
2,2.26005364455,3.04955587142,5.22817393425
3,2.39830113647,4.85247586333,6.44126714076
4,2.67162546063,4.96981452849,7.328822301
5,2.68033892584,5.1183574065,8.25290817993
6,2.80391786238,5.85615556203,8.7907269172
7,2.82122664695,6.83755524049,9.15392956786
8,2.94576931973,7.51921796189,9.69575460027
9,3.06427026833,8.74702634317,9.77236627655
10,3.10983987028,9.21653683874,9.94496349065
11,3.214874277,10.2916243133,10.2828715963
12,3.31395688968,12.3457926216,10.4326340224
13,3.33906183682,13.2690495124,10.4577389695
14,3.36637905568,14.1024571581,10.5515268569
15,3.45723656926,15.4881321279,10.6564441177
16,3.51239502398,16.4253615825,10.7346297121
17,3.55100643577,18.0863226423,10.7600505745
18,3.5725529005,19.5351729932,10.8575451491
19,3.68556537559,21.4651595925,10.9319136296
20,3.79931736911,22.7769721667,10.9852043374
21,3.80146707771,24.4487771985,10.9852043374
22,3.80146707771,25.8045715131,11.0412132365
23,3.86533496324,28.0723589088,11.0412132365
24,3.86533496324,29.6344113879,11.125303535
25,3.86944873282,31.1645110534,11.2152672929
26,3.86944873282,32.8182521799,11.2152672929
27,3.88267596992,34.1452453506,11.3491615973
28,3.97857736709,34.6362361357,11.3798466601
29,4.02597418582,36.2452529778,11.5698427821
