Time(Iteration),AsyncCoLinUCBCoTheta,W_W0CoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,W_W0Theta,W_W0W
0,0.514036073159,0.75087878817,0.494864058455,0.772220606117,0.94522692219,0.94522692219
10,0.163432242786,0.288391796465,0.263197135678,0.371244827599,0.845348420529,0.845348420529
20,0.0919474275614,0.186446103804,0.212354646724,0.331727437065,0.785681136761,0.785681136761
30,0.0767023375705,0.153429469508,0.186589442526,0.269153687831,0.840471324514,0.840471324514
40,0.0530677050337,0.125582677606,0.166630492225,0.233287550004,0.847486659452,0.847486659452
50,0.0604145814788,0.125576460133,0.139287319572,0.232801543534,0.841820040021,0.841820040021
60,0.0474243240747,0.120737832866,0.131657978832,0.182469762155,0.847264572078,0.847264572078
70,0.0503308671376,0.105524979614,0.125332172933,0.192436609007,0.848158463843,0.848158463843
80,0.0542035418536,0.0953794693874,0.126345695806,0.205926745574,0.844890846225,0.844890846225
90,0.0635522479426,0.0913520604361,0.111773675244,0.21277758895,0.848665552005,0.848665552005
100,0.0577328072895,0.0872213943553,0.104241435209,0.191969698758,0.852775968285,0.852775968285
110,0.0532303393929,0.0906870161846,0.100210083997,0.187108584231,0.853636966577,0.853636966577
120,0.0530506619857,0.0940694034427,0.0978692860655,0.179166514425,0.860636958428,0.860636958428
130,0.0498884876321,0.0848991139933,0.0985751676608,0.182002192013,0.851247305229,0.851247305229
140,0.0505118872436,0.0948439008414,0.0837139708747,0.172896670111,0.852009945223,0.852009945223
150,0.0463899609752,0.0779937938118,0.0848714392069,0.153380373519,0.849477742032,0.849477742032
160,0.0423986247859,0.0670576372957,0.0791339858541,0.145434776069,0.842330913477,0.842330913477
170,0.046445276911,0.0619969245026,0.0744875794256,0.162751645206,0.845464092577,0.845464092577
180,0.0493086331632,0.0674520462149,0.0741508862873,0.15635284415,0.845366376723,0.845366376723
190,0.0465342617993,0.071480540868,0.0720761223481,0.156435707617,0.84076245443,0.84076245443
200,0.0454961929911,0.0740280569695,0.0722792963184,0.154876468209,0.840835392535,0.840835392535
210,0.043907558441,0.0799681010894,0.0737319500998,0.163936760802,0.841261371494,0.841261371494
220,0.0448573704358,0.0720782642515,0.0715377498706,0.163890465136,0.837791515128,0.837791515128
230,0.0439124659763,0.0692985002523,0.0723000051983,0.165202576189,0.834892425263,0.834892425263
240,0.043083267707,0.0705339605295,0.0721059412385,0.170519330245,0.835162561571,0.835162561571
250,0.0458343829134,0.0677752265167,0.0715195968422,0.173800739666,0.830143613764,0.830143613764
260,0.0445988607834,0.0607270322633,0.0687879504075,0.179207607947,0.830611976089,0.830611976089
270,0.0427596830847,0.060292773848,0.0671217777959,0.177542839578,0.828442302707,0.828442302707
280,0.0398985640343,0.0558519376134,0.0646268542391,0.166320789308,0.829224687261,0.829224687261
290,0.0384781426347,0.0583845666777,0.0631129373929,0.162344891244,0.830960299529,0.830960299529
